participant_id	continent_of_origin
1	North America
2	Europe
3	North America
4	Europe
5	Europe
6	North America
7	North America
8	Europe
9	Australia
10	North America
11	North America
12	Asia
13	South America
14	South America
15	North America
16	North America
17	Europe
18	Asia
19	North America
20	Asia
21	Asia
22	Asia
23	North America
24	Europe
25	Asia
26	North America
27	Asia
28	Asia
29	Asia
30	North America
31	Asia
32	North America
33	North America
34	North America
35	North America
36	North America
37	Asia
38	North America
40	Asia
41	Europe
42	North America
43	North America
44	North America
45	North America
46	Europe
47	Asia
48	Asia
49	North America
50	North America
51	North America
52	Europe
